Wavelength,SAPONITE,SMECTITE,NONTRONITE,SERPENTINE,MONTMORILLONITE,KAOLINITE,GYPSUM,JAROSITE,KIESERITE,SZOMOLNOKITE,CALCITE,MAGNESITE,PYROXENE,PLAGIOCLASE,QUARTZ,FAYALITE,FORSTERITE,OLIVINE,HEMATITE,GOETHITE
0.5225,0.649556,0.29445,0.275465,0.043677,0.201485,0.797164,0.934407,0.169614,0.795038,0.447535,0.843873,0.840965,0.682443,0.273971,0.859045,0.188289,0.665542,0.729533,0.05464,0.073284
0.525,0.653056,0.30074,0.281566,0.043562,0.209806,0.798373,0.936267,0.179553,0.797097,0.45249,0.844204,0.842295,0.685892,0.274404,0.857658,0.191376,0.666549,0.730722,0.05465,0.075815
0.5275,0.656549,0.307485,0.288341,0.043721,0.217999,0.799796,0.936175,0.191041,0.798998,0.457405,0.845901,0.842218,0.687379,0.274699,0.858059,0.192644,0.667753,0.73192,0.054765,0.078773
0.53,0.660041,0.314229,0.295117,0.043881,0.226192,0.80122,0.936084,0.202528,0.800898,0.46232,0.847597,0.84214,0.688867,0.274994,0.85846,0.193912,0.668957,0.733119,0.05488,0.081732
0.5325,0.663442,0.32117,0.301924,0.043939,0.234687,0.80323,0.937404,0.216572,0.801987,0.46743,0.848329,0.844919,0.690804,0.27547,0.858398,0.196777,0.669804,0.733822,0.05497,0.085428
0.535,0.666842,0.32811,0.308731,0.043997,0.243181,0.805239,0.938724,0.230616,0.803076,0.47254,0.849061,0.847698,0.692741,0.275945,0.858337,0.199642,0.670651,0.734525,0.05506,0.089123
0.5375,0.669754,0.334741,0.314768,0.044179,0.252311,0.807032,0.938761,0.245847,0.804615,0.47689,0.849143,0.846969,0.692721,0.276319,0.85916,0.202229,0.672206,0.734938,0.05511,0.09326
0.54,0.672666,0.341371,0.320805,0.044362,0.261442,0.808824,0.938798,0.261078,0.806154,0.48124,0.849225,0.846241,0.692702,0.276693,0.859984,0.204816,0.673761,0.73535,0.05516,0.097397
0.5425,0.67608,0.347292,0.325675,0.044451,0.270599,0.81013,0.939694,0.277866,0.80743,0.486215,0.849163,0.848193,0.692639,0.277114,0.86017,0.206831,0.674603,0.736714,0.055215,0.102199
0.545,0.679494,0.353214,0.330546,0.04454,0.279757,0.811437,0.940589,0.294655,0.808706,0.49119,0.849101,0.850146,0.692577,0.277535,0.860356,0.208847,0.675444,0.738079,0.05527,0.107001
0.5475,0.681973,0.358694,0.335267,0.044759,0.289169,0.812721,0.941013,0.311925,0.809515,0.495725,0.850058,0.849558,0.693696,0.27802,0.860527,0.21056,0.676512,0.738796,0.05522,0.111899
0.55,0.684452,0.364175,0.339988,0.044978,0.298581,0.814005,0.941437,0.329195,0.810323,0.50026,0.851016,0.848969,0.694814,0.278505,0.860698,0.212273,0.677579,0.739512,0.05517,0.116797
0.5525,0.685387,0.369316,0.344252,0.04496,0.307995,0.815901,0.941847,0.346461,0.811352,0.50467,0.850855,0.850616,0.696638,0.278907,0.86077,0.213885,0.678096,0.740229,0.05512,0.121964
0.555,0.686323,0.374456,0.348516,0.044941,0.317409,0.817797,0.942257,0.363727,0.812382,0.50908,0.850693,0.852262,0.698461,0.279309,0.860843,0.215497,0.678613,0.740946,0.05507,0.12713
0.5575,0.689258,0.379135,0.351976,0.045055,0.327067,0.818631,0.942606,0.378734,0.813309,0.51296,0.852087,0.851835,0.699791,0.279945,0.861197,0.21694,0.679151,0.74037,0.055,0.131687
0.56,0.692192,0.383814,0.355436,0.045169,0.336724,0.819464,0.942955,0.393742,0.814237,0.51684,0.853482,0.851408,0.701122,0.28058,0.86155,0.218384,0.679689,0.739794,0.05493,0.136243
0.5625,0.69373,0.38781,0.358038,0.045228,0.345989,0.821126,0.943076,0.407126,0.814979,0.52133,0.85377,0.852773,0.701813,0.280841,0.86185,0.220113,0.680173,0.740598,0.054815,0.140413
0.565,0.695268,0.391805,0.360639,0.045287,0.355253,0.822787,0.943196,0.420509,0.815722,0.52582,0.854058,0.854139,0.702505,0.281101,0.86215,0.221842,0.680657,0.741403,0.0547,0.144583
0.5675,0.697265,0.395164,0.362732,0.045334,0.365348,0.823882,0.943872,0.431072,0.815653,0.52973,0.854563,0.853878,0.703149,0.281528,0.862149,0.223425,0.680876,0.740563,0.05459,0.147766
0.57,0.699262,0.398523,0.364825,0.045381,0.375443,0.824976,0.944548,0.441634,0.815584,0.53364,0.855069,0.853618,0.703793,0.281955,0.862149,0.225008,0.681094,0.739723,0.05448,0.150949
0.5725,0.700494,0.401267,0.366167,0.045341,0.385253,0.826148,0.945001,0.449349,0.816597,0.53753,0.85711,0.854686,0.704719,0.282458,0.862845,0.226277,0.68076,0.74044,0.05431,0.153414
0.575,0.701725,0.404011,0.367508,0.045302,0.395063,0.82732,0.945454,0.457064,0.817609,0.54142,0.859151,0.855754,0.705645,0.28296,0.863541,0.227546,0.680426,0.741157,0.05414,0.155878
0.5775,0.703802,0.406354,0.36873,0.045079,0.404662,0.828555,0.945431,0.461666,0.818171,0.54463,0.859149,0.855273,0.706107,0.283378,0.863997,0.229035,0.680609,0.741263,0.05402,0.157349
0.58,0.70588,0.408697,0.369951,0.044857,0.414261,0.829789,0.945408,0.466267,0.818733,0.54784,0.859146,0.854791,0.70657,0.283796,0.864453,0.230525,0.680792,0.741369,0.0539,0.158819
0.5825,0.706309,0.410744,0.370476,0.044737,0.423252,0.831003,0.94581,0.468827,0.819322,0.551135,0.859158,0.855506,0.707071,0.284539,0.864245,0.232204,0.680487,0.741022,0.053815,0.159812
0.585,0.706738,0.412791,0.371002,0.044617,0.432243,0.832217,0.946212,0.471388,0.81991,0.55443,0.85917,0.856222,0.707572,0.285281,0.864037,0.233884,0.680182,0.740675,0.05373,0.160805
0.5875,0.709026,0.414465,0.371243,0.044464,0.44125,0.833228,0.946225,0.472636,0.820424,0.55791,0.859913,0.855741,0.708736,0.285792,0.864473,0.234389,0.679925,0.739885,0.053715,0.161159
0.59,0.711314,0.416138,0.371485,0.04431,0.450257,0.83424,0.946238,0.473883,0.820938,0.56139,0.860655,0.85526,0.7099,0.286303,0.864909,0.234893,0.679668,0.739095,0.0537,0.161513
0.5925,0.712024,0.417528,0.371605,0.044256,0.45843,0.835046,0.946774,0.473427,0.821503,0.564735,0.86077,0.855934,0.710185,0.286887,0.865106,0.235971,0.679492,0.739055,0.053575,0.161637
0.595,0.712734,0.418919,0.371726,0.044202,0.466603,0.835852,0.947311,0.47297,0.822069,0.56808,0.860884,0.856608,0.71047,0.28747,0.865302,0.23705,0.679315,0.739015,0.05345,0.161762
0.5975,0.7132,0.419935,0.371042,0.04414,0.474629,0.83725,0.947475,0.471587,0.822812,0.57069,0.861416,0.855749,0.711337,0.288176,0.865247,0.237751,0.678808,0.738901,0.0533,0.161636
0.6,0.713667,0.420952,0.370359,0.044078,0.482655,0.838648,0.94764,0.470204,0.823555,0.5733,0.861948,0.85489,0.712204,0.288882,0.865192,0.238451,0.678301,0.738788,0.05315,0.161509
0.6025,0.716218,0.42175,0.369608,0.043937,0.490213,0.839147,0.946505,0.470071,0.823286,0.57592,0.861733,0.855419,0.712593,0.289314,0.864977,0.239274,0.678347,0.738176,0.053115,0.161227
0.605,0.718769,0.422549,0.368856,0.043796,0.49777,0.839646,0.94537,0.469939,0.823017,0.57854,0.861518,0.855947,0.712983,0.289746,0.864761,0.240096,0.678393,0.737563,0.05308,0.160945
0.6075,0.719378,0.423476,0.367595,0.043826,0.505092,0.840677,0.946495,0.468468,0.823817,0.580785,0.862555,0.855278,0.713757,0.290522,0.864336,0.241475,0.67768,0.737061,0.053115,0.160692
0.61,0.719987,0.424403,0.366335,0.043856,0.512413,0.841708,0.94762,0.466996,0.824618,0.58303,0.863592,0.854609,0.71453,0.291297,0.863911,0.242855,0.676967,0.736558,0.05315,0.160439
0.6125,0.721562,0.425227,0.36525,0.043761,0.5189,0.842928,0.947849,0.465984,0.825033,0.585625,0.86412,0.855254,0.715159,0.29182,0.864324,0.243083,0.676113,0.736356,0.0531,0.160068
